frequency,raw
20.00,5.67
20.20,5.69
20.40,5.70
20.61,5.72
20.81,5.73
21.02,5.75
21.23,5.77
21.44,5.78
21.66,5.80
21.87,5.81
22.09,5.82
22.31,5.83
22.54,5.83
22.76,5.84
22.99,5.86
23.22,5.88
23.45,5.90
23.69,5.91
23.92,5.93
24.16,5.94
24.40,5.95
24.65,5.96
24.89,5.97
25.14,5.98
25.39,6.00
25.65,6.03
25.91,6.05
26.16,6.08
26.43,6.10
26.69,6.12
26.96,6.13
27.23,6.13
27.50,6.14
27.77,6.15
28.05,6.15
28.33,6.15
28.62,6.15
28.90,6.15
29.19,6.15
29.48,6.16
29.78,6.18
30.08,6.19
30.38,6.21
30.68,6.23
30.99,6.25
31.30,6.26
31.61,6.28
31.93,6.29
32.24,6.31
32.57,6.32
32.89,6.33
33.22,6.34
33.55,6.34
33.89,6.35
34.23,6.35
34.57,6.35
34.92,6.35
35.27,6.35
35.62,6.35
35.97,6.35
36.33,6.35
36.70,6.35
37.06,6.35
37.43,6.35
37.81,6.35
38.19,6.35
38.57,6.35
38.95,6.35
39.34,6.35
39.74,6.35
40.14,6.35
40.54,6.35
40.94,6.35
41.35,6.35
41.76,6.35
42.18,6.35
42.60,6.35
43.03,6.35
43.46,6.35
43.90,6.35
44.33,6.34
44.78,6.32
45.23,6.31
45.68,6.29
46.13,6.27
46.60,6.25
47.06,6.24
47.53,6.23
48.01,6.22
48.49,6.22
48.97,6.21
49.46,6.19
49.96,6.18
50.46,6.17
50.96,6.16
51.47,6.15
51.99,6.13
52.51,6.11
53.03,6.08
53.56,6.06
54.10,6.04
54.64,6.02
55.18,6.00
55.74,5.98
56.29,5.96
56.86,5.94
57.42,5.92
58.00,5.90
58.58,5.88
59.16,5.85
59.76,5.83
60.35,5.81
60.96,5.79
61.57,5.76
62.18,5.74
62.80,5.72
63.43,5.70
64.07,5.67
64.71,5.64
65.35,5.62
66.01,5.59
66.67,5.56
67.33,5.54
68.01,5.51
68.69,5.49
69.37,5.46
70.07,5.44
70.77,5.41
71.48,5.39
72.19,5.36
72.91,5.33
73.64,5.31
74.38,5.28
75.12,5.26
75.87,5.23
76.63,5.20
77.40,5.17
78.17,5.14
78.95,5.11
79.74,5.08
80.54,5.05
81.35,5.02
82.16,4.99
82.98,4.96
83.81,4.93
84.65,4.90
85.50,4.87
86.35,4.84
87.22,4.81
88.09,4.78
88.97,4.75
89.86,4.72
90.76,4.68
91.66,4.65
92.58,4.61
93.51,4.57
94.44,4.54
95.39,4.50
96.34,4.46
97.30,4.42
98.28,4.38
99.26,4.34
100.25,4.31
101.25,4.26
102.27,4.22
103.29,4.18
104.32,4.14
105.37,4.10
106.42,4.06
107.48,4.02
108.56,3.98
109.64,3.94
110.74,3.90
111.85,3.85
112.97,3.80
114.10,3.76
115.24,3.71
116.39,3.66
117.55,3.62
118.73,3.57
119.92,3.53
121.12,3.49
122.33,3.44
123.55,3.40
124.79,3.35
126.03,3.31
127.29,3.27
128.57,3.23
129.85,3.18
131.15,3.14
132.46,3.09
133.79,3.05
135.12,3.00
136.48,2.96
137.84,2.92
139.22,2.87
140.61,2.83
