frequency,raw
20.00,9.13
20.20,9.14
20.40,9.16
20.61,9.17
20.81,9.19
21.02,9.21
21.23,9.22
21.44,9.24
21.66,9.25
21.87,9.27
22.09,9.28
22.31,9.30
22.54,9.31
22.76,9.33
22.99,9.34
23.22,9.36
23.45,9.37
23.69,9.39
23.92,9.40
24.16,9.41
24.40,9.42
24.65,9.43
24.89,9.43
25.14,9.45
25.39,9.46
25.65,9.48
25.91,9.48
26.16,9.48
26.43,9.48
26.69,9.48
26.96,9.48
27.23,9.48
27.50,9.48
27.77,9.48
28.05,9.48
28.33,9.48
28.62,9.48
28.90,9.48
29.19,9.48
29.48,9.48
29.78,9.48
30.08,9.48
30.38,9.48
30.68,9.48
30.99,9.48
31.30,9.48
31.61,9.49
31.93,9.50
32.24,9.51
32.57,9.51
32.89,9.51
33.22,9.51
33.55,9.51
33.89,9.51
34.23,9.51
34.57,9.51
34.92,9.51
35.27,9.51
35.62,9.51
35.97,9.51
36.33,9.50
36.70,9.49
37.06,9.49
37.43,9.49
37.81,9.48
38.19,9.48
38.57,9.47
38.95,9.45
39.34,9.44
39.74,9.43
40.14,9.42
40.54,9.41
40.94,9.40
41.35,9.39
41.76,9.37
42.18,9.36
42.60,9.35
43.03,9.33
43.46,9.32
43.90,9.31
44.33,9.29
44.78,9.28
45.23,9.26
45.68,9.25
46.13,9.23
46.60,9.22
47.06,9.20
47.53,9.18
48.01,9.17
48.49,9.15
48.97,9.13
49.46,9.11
49.96,9.09
50.46,9.07
50.96,9.05
51.47,9.03
51.99,9.01
52.51,8.98
53.03,8.96
53.56,8.94
54.10,8.91
54.64,8.89
55.18,8.87
55.74,8.85
56.29,8.82
56.86,8.80
57.42,8.77
58.00,8.75
58.58,8.72
59.16,8.70
59.76,8.68
60.35,8.65
60.96,8.63
61.57,8.60
62.18,8.57
62.80,8.55
63.43,8.52
64.07,8.50
64.71,8.47
65.35,8.45
66.01,8.42
66.67,8.40
67.33,8.37
68.01,8.34
68.69,8.31
69.37,8.28
70.07,8.26
70.77,8.23
71.48,8.21
72.19,8.18
72.91,8.15
73.64,8.12
74.38,8.09
75.12,8.06
75.87,8.04
76.63,8.01
77.40,7.98
78.17,7.95
78.95,7.91
79.74,7.88
80.54,7.85
81.35,7.81
82.16,7.78
82.98,7.75
83.81,7.72
84.65,7.69
85.50,7.66
86.35,7.62
87.22,7.59
88.09,7.55
88.97,7.52
89.86,7.48
90.76,7.44
91.66,7.41
92.58,7.37
93.51,7.34
94.44,7.30
95.39,7.26
96.34,7.22
97.30,7.18
98.28,7.14
99.26,7.10
100.25,7.06
101.25,7.02
102.27,6.98
103.29,6.94
104.32,6.90
105.37,6.86
106.42,6.82
107.48,6.77
108.56,6.73
109.64,6.68
110.74,6.64
111.85,6.60
112.97,6.55
114.10,6.51
115.24,6.47
116.39,6.43
117.55,6.38
118.73,6.33
119.92,6.28
121.12,6.24
122.33,6.20
123.55,6.15
124.79,6.11
126.03,6.06
127.29,6.02
128.57,5.97
129.85,5.93
131.15,5.89
132.46,5.85
133.79,5.80
135.12,5.75
136.48,5.70
137.84,5.66
139.22,5.61
140.61,5.57
142.02,5.52
143.44,5.47
144.87,5.42
146.32,5.37
147.78,5.33
149.26,5.28
150.75,5.23
152.26,5.18
153.78,5.12
155.32,5.07
156.88,5.02
158.44,4.97
160.03,4.92
161.63,4.87
163.24,4.82
164.88,4.76
166.53,4.71
168.19,4.66
169.87,4.60
171.57,4.55
173.29,4.50
175.02,4.45
176.77,4.40
178.54,4.36
180.32,4.30
182.13,4.25
183.95,4.19
185.79,4.14
187.65,4.09
189.52,4.04
191.42,3.99
193.33,3.93
195.27,3.88
197.22,3.82
199.19,3.77
201.18,3.72
203.19,3.67
205.23,3.61
207.28,3.56
209.35,3.51
211.44,3.45
213.56,3.40
215.69,3.34
217.85,3.29
220.03,3.23
222.23,3.18
224.45,3.12
226.70,3.07
228.96,3.01
231.25,2.95
233.57,2.89
235.90,2.83
238.26,2.77
240.64,2.71
243.05,2.66
245.48,2.60
247.93,2.54
250.41,2.48
252.92,2.43
255.45,2.37
258.00,2.31
260.58,2.26
263.19,2.20
265.82,2.15
268.48,2.09
271.16,2.03
273.87,1.98
276.61,1.92
279.38,1.86
282.17,1.80
284.99,1.75
287.84,1.69
290.72,1.63
293.63,1.57
