frequency,raw
2.018738,-8.699
2.355194,-2.43
2.69165,-1.688
3.028107,-3.953
3.364563,-10.392
3.701019,-21.599
4.037476,-9.492
4.373932,-6.774
4.710388,-7.371
5.046844,-10.968
5.383301,-18.824
5.719757,-15.697
6.056213,-11.302
6.39267,-10.46
6.729126,-12.101
7.065582,-16.101
7.402039,-19.329
7.738495,-16.624
8.074951,-14.954
8.411407,-15.531
8.747864,-18.202
9.08432,-22.518
9.420776,-24.434
9.757233,-23.445
10.093689,-24.314
10.430145,-27.935
10.766602,-30.052
11.103058,-26.16
11.439514,-23.409
11.77597,-21.723
12.112427,-20.199
12.448883,-18.744
12.785339,-17.639
13.121796,-16.942
13.458252,-16.426
13.794708,-15.84
14.131165,-15.207
14.467621,-14.733
14.804077,-14.56
15.140533,-14.647
15.47699,-14.817
15.813446,-14.913
16.149902,-14.934
16.486359,-15.012
16.822815,-15.255
17.159271,-15.637
17.495728,-16.048
17.832184,-16.337
18.16864,-16.418
18.505096,-16.294
18.841553,-16.02
19.178009,-15.637
19.514465,-15.167
19.850922,-14.621
20.187378,-14.025
20.523834,-13.432
20.860291,-12.89
21.196747,-12.421
21.533203,-12.016
21.869659,-11.649
22.206116,-11.316
22.542572,-11.042
22.879028,-10.85
23.215485,-10.744
23.551941,-10.697
23.888397,-10.678
24.224854,-10.659
24.56131,-10.649
24.897766,-10.663
25.234222,-10.707
25.570679,-10.765
25.907135,-10.809
26.243591,-10.815
26.580048,-10.778
26.916504,-10.701
27.25296,-10.597
27.589417,-10.465
27.925873,-10.304
28.262329,-10.118
28.598785,-9.917
28.935242,-9.714
29.271698,-9.517
29.608154,-9.325
29.944611,-9.135
30.281067,-8.946
30.617523,-8.771
30.953979,-8.621
31.290436,-8.5
31.626892,-8.4
31.963348,-8.313
32.299805,-8.231
32.636261,-8.155
32.972717,-8.091
33.309174,-8.041
33.64563,-8.001
33.982086,-7.964
34.318542,-7.918
34.654999,-7.861
34.991455,-7.795
35.327911,-7.724
35.664368,-7.648
36.000824,-7.565
36.33728,-7.475
36.673737,-7.379
37.010193,-7.28
37.346649,-7.179
37.683105,-7.077
38.019562,-6.975
38.356018,-6.869
38.692474,-6.764
39.028931,-6.666
39.365387,-6.576
39.701843,-6.492
40.0383,-6.413
40.374756,-6.335
40.711212,-6.261
41.047668,-6.193
41.384125,-6.131
41.720581,-6.072
42.057037,-6.013
42.393494,-5.953
42.72995,-5.894
43.066406,-5.838
43.402863,-5.786
43.739319,-5.735
44.075775,-5.683
44.412231,-5.627
44.748688,-5.566
45.085144,-5.504
45.4216,-5.444
45.758057,-5.388
46.094513,-5.336
46.430969,-5.285
46.767426,-5.236
47.103882,-5.188
47.440338,-5.141
47.776794,-5.095
48.113251,-5.052
48.449707,-5.009
48.786163,-4.967
49.12262,-4.929
49.459076,-4.893
49.795532,-4.859
50.131989,-4.825
50.468445,-4.792
50.804901,-4.757
51.141357,-4.723
51.477814,-4.688
51.81427,-4.654
52.150726,-4.619
52.487183,-4.585
52.823639,-4.553
53.160095,-4.523
53.496552,-4.496
53.833008,-4.47
54.169464,-4.443
54.50592,-4.417
54.842377,-4.391
55.178833,-4.368
55.515289,-4.348
55.851746,-4.329
56.188202,-4.31
56.524658,-4.29
56.861115,-4.269
57.197571,-4.248
57.534027,-4.229
57.870483,-4.211
58.20694,-4.192
58.543396,-4.172
58.879852,-4.148
59.216309,-4.123
59.552765,-4.096
59.889221,-4.069
60.225677,-4.035
60.562134,-4.009
60.89859,-3.984
61.235046,-3.96
61.571503,-3.936
61.907959,-3.913
62.244415,-3.89
62.580872,-3.866
62.917328,-3.844
63.253784,-3.824
63.59024,-3.806
63.926697,-3.791
64.263153,-3.776
64.599609,-3.761
64.936066,-3.746
65.272522,-3.732
65.608978,-3.718
65.945435,-3.706
66.281891,-3.694
66.618347,-3.682
66.954803,-3.669
67.29126,-3.655
67.627716,-3.641
67.964172,-3.626
68.300629,-3.611
68.637085,-3.595
68.973541,-3.579
69.309998,-3.563
69.646454,-3.546
69.98291,-3.529
70.319366,-3.512
70.655823,-3.494
70.992279,-3.477
71.328735,-3.461
71.665192,-3.446
72.001648,-3.431
72.338104,-3.418
72.674561,-3.404
73.011017,-3.39
73.347473,-3.377
73.683929,-3.363
74.020386,-3.35
74.356842,-3.338
74.693298,-3.325
75.029755,-3.312
75.366211,-3.299
75.702667,-3.285
76.039124,-3.27
76.37558,-3.256
76.712036,-3.242
77.048492,-3.228
77.384949,-3.216
77.721405,-3.204
78.057861,-3.192
78.394318,-3.18
78.730774,-3.167
79.06723,-3.155
79.403687,-3.143
79.740143,-3.132
80.076599,-3.12
80.413055,-3.109
80.749512,-3.097
81.085968,-3.084
81.422424,-3.073
81.758881,-3.062
82.095337,-3.052
82.431793,-3.042
82.76825,-3.032
83.104706,-3.021
83.441162,-3.01
83.777618,-2.999
84.114075,-2.987
84.450531,-2.975
84.786987,-2.963
85.123444,-2.952
85.4599,-2.942
85.796356,-2.932
86.132812,-2.921
86.469269,-2.91
86.805725,-2.9
87.142181,-2.89
87.478638,-2.88
87.815094,-2.871
88.15155,-2.861
88.488007,-2.85
88.824463,-2.84
89.160919,-2.83
89.497375,-2.821
89.833832,-2.814
90.170288,-2.807
90.506744,-2.801
90.843201,-2.795
91.179657,-2.787
91.516113,-2.779
91.85257,-2.772
92.189026,-2.766
92.525482,-2.76
92.861938,-2.756
93.198395,-2.753
93.534851,-2.751
93.871307,-2.749
94.207764,-2.748
94.54422,-2.747
94.880676,-2.746
95.217133,-2.745
95.553589,-2.745
95.890045,-2.745
