frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-14.69,-15.36,-14.70,-15.37,6.00,6.29,2.80,-8.69,-8.70,0.67
20.20,-14.34,-15.04,-14.33,-15.03,6.00,6.29,2.88,-8.34,-8.33,0.70
20.40,-13.98,-14.71,-13.98,-14.70,6.00,6.29,2.96,-7.98,-7.98,0.73
20.61,-13.64,-14.38,-13.64,-14.39,6.00,6.28,3.05,-7.64,-7.64,0.75
20.81,-13.30,-14.08,-13.31,-14.09,6.00,6.28,3.13,-7.30,-7.31,0.78
21.02,-13.00,-13.81,-13.00,-13.80,6.00,6.28,3.22,-7.00,-7.00,0.81
21.23,-12.72,-13.53,-12.72,-13.54,6.00,6.27,3.31,-6.72,-6.72,0.82
21.44,-12.46,-13.29,-12.46,-13.29,6.00,6.27,3.41,-6.46,-6.46,0.83
21.66,-12.22,-13.05,-12.21,-13.05,6.00,6.27,3.50,-6.22,-6.21,0.84
21.87,-11.98,-12.82,-11.98,-12.82,6.00,6.26,3.61,-5.98,-5.98,0.84
22.09,-11.76,-12.61,-11.76,-12.61,6.00,6.26,3.71,-5.76,-5.76,0.85
22.31,-11.56,-12.41,-11.56,-12.41,6.00,6.26,3.81,-5.56,-5.56,0.85
22.54,-11.38,-12.23,-11.39,-12.24,6.00,6.25,3.92,-5.38,-5.39,0.85
22.76,-11.25,-12.10,-11.25,-12.10,6.00,6.25,4.03,-5.25,-5.25,0.85
22.99,-11.15,-11.99,-11.15,-11.99,6.00,6.24,4.15,-5.15,-5.15,0.84
23.22,-11.08,-11.92,-11.09,-11.92,6.00,6.24,4.26,-5.08,-5.09,0.84
23.45,-11.05,-11.88,-11.05,-11.88,6.00,6.24,4.38,-5.05,-5.05,0.84
23.69,-11.03,-11.86,-11.02,-11.86,6.00,6.23,4.50,-5.03,-5.02,0.84
23.92,-11.01,-11.85,-11.01,-11.85,6.00,6.23,4.63,-5.01,-5.01,0.84
24.16,-11.00,-11.84,-11.00,-11.83,6.00,6.22,4.75,-5.00,-5.00,0.84
24.40,-10.99,-11.83,-10.99,-11.82,6.00,6.22,4.88,-4.99,-4.99,0.84
24.65,-10.99,-11.82,-10.99,-11.82,6.00,6.21,5.01,-4.99,-4.99,0.83
24.89,-11.00,-11.83,-11.00,-11.83,6.00,6.21,5.15,-5.00,-5.00,0.83
25.14,-11.03,-11.86,-11.03,-11.86,6.00,6.20,5.28,-5.03,-5.03,0.83
25.39,-11.07,-11.90,-11.07,-11.90,6.00,6.20,5.41,-5.07,-5.07,0.83
25.65,-11.11,-11.94,-11.11,-11.94,6.00,6.19,5.55,-5.11,-5.11,0.83
25.91,-11.15,-11.96,-11.14,-11.96,6.00,6.19,5.69,-5.15,-5.14,0.82
26.16,-11.15,-11.97,-11.15,-11.97,6.00,6.18,5.82,-5.15,-5.15,0.82
26.43,-11.13,-11.95,-11.13,-11.95,6.00,6.18,5.96,-5.13,-5.13,0.82
26.69,-11.09,-11.91,-11.09,-11.91,6.00,6.17,6.09,-5.09,-5.09,0.82
26.96,-11.03,-11.84,-11.03,-11.84,6.00,6.16,6.23,-5.03,-5.03,0.82
